	University	Pedestrian	Neighbourhood	City	County	State	Country	Country_code	Road	Postcode	Footway	Suburb	Address29	Cycleway	Clothes	House_number	Hamlet	School	Town	Locality	Parking	Hospital	Village	Museum	College	Park	Convenience	Library	Attraction	Residential	Bicycle_parking	Building	City_district	Industrial	Commercial	Station	University	Subject	Stipend	LW Ratio	Academic Year	Program Year
2358	Wright State University			Fairborn	Greene County	Ohio	USA	us	University Boulevard	45433																											Wright State University 	Mechanical and Materials Engineering	18000	0.91	2016-2017	2nd
2359				Columbia	Boone County	Missouri	USA	us		65211-7010	Lowry Mall																	Ellis Library									University of Missouri 	Integrative Anatomy Program	25000	1.22	2017-2018	1st
2360				Columbia	Boone County	Missouri	USA	us		65211-7010	Lowry Mall																	Ellis Library									University of Missouri 	Integrative Anatomy Program	25000	1.22	2017-2018	1st
2361	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	DGP	29700	1.22	2017-2018	1st
2362	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	DGP	30700	1.27	2017-2018	1st
2363	Washington University in St. Louis		Fountain Park	Saint Louis	City of Saint Louis	Missouri	United States of America	us		63112-0040				Wheels Path																							Washington University in St. Louis 	Mechanical Engineering	29000	1.4	2017-2018	1st
2364	UMN			St. Paul	Ramsey County	Minnesota	USA	us	North Brompton Street	55108																											University of Minnesota - Twin Cities 	Entomology	16300	0.71	2017-2018	2nd
2365				Knoxville	Knox County	Tennessee	USA	us	Melrose Avenue	37916		Fort Sanders						University of Tennessee																			University of Tennessee - Knoxville	Chemical and Biomolecular Engineering	25500	1.2	2016-2017	4th
2366	Kansas State University			Manhattan	Riley County	Kansas	USA	us	Denison Avenue	66506																											Kansas State University 	Kinesiology	15000	0.68	2016-2017	1st
2367	Virginia Polytechnic Institute and State University		Longview Estates		Montgomery County	Virginia	USA	us	Life Science Circle	24061									Blacksburg																		Virginia Tech	Chemical Engineering	26230	1.25	2017-2018	1st
2368			Cardinal Court		McLean County	Illinois	United States of America	us		61790	Constitution Trail								Normal		Illinois State University																Illinois State University 	Sociology 	7038	0.31	2016-2017	2nd
2369	BU		Audubon Square	Boston	Suffolk County	Massachusetts	USA	us	Commonwealth Avenue	02215		Fenway																									Boston University 	Spanish	20000	0.7	2016-2017	1st
2370	BU		Audubon Square	Boston	Suffolk County	Massachusetts	USA	us	Commonwealth Avenue	02215		Fenway																									Boston University 	Spanish	20000	0.7	2016-2017	1st
2371	BU		Audubon Square	Boston	Suffolk County	Massachusetts	USA	us	Commonwealth Avenue	02215		Fenway																									Boston University 	Spanish	20000	0.7	2016-2017	1st
2372	Washington University in St. Louis		Fountain Park	Saint Louis	City of Saint Louis	Missouri	United States of America	us		63112-0040				Wheels Path																							Washington University in St. Louis 	Computer Science 	29000	1.4	2017-2018	1st
2373	John Felice Rome Center		Balduina	Roma	RM	LAZ	Italia	it	Via Massimi	00136		Municipio Roma XIV																									Loyola University Chicago 	Cellular and Molecular Physiology	26500	1.09	2017-2018	2nd
2374	University of Chicago		Woodlawn	Chicago	Cook County	Illinois	USA	us	South Ellis Avenue	60637																											University of Chicago 	Booth	36800	1.52	2017-2018	3rd
2375	MSU			Bozeman	Gallatin County	Montana	USA	us	West Lincoln Street	59715																											Montana State University 	Chemistry	22500	1.07	2016-2017	1st
2376	University of California, Irvine			Irvine	Orange County	California	USA	us	East Peltason Drive	92612		Turtle Rock																									University of California - Irvine 	Biomedical Engineering	25506	0.87	2017-2018	1st
2377	UCSD		University Center	San Diego	San Diego County	California	USA	us	Gilman Drive	92093		Torrey Pines				9500																					University of California - San Diego 	Physics	37000	1.4	2015-2016	1st
2378	University of Pittsburgh			PGH	Allegheny County	Pennsylvania	USA	us	Sutherland Drive	15240		West Oakland																									University of Pittsburgh	Information Science	21500	1.04	2017-2018	1st
2379	Clarkson University				Saint Lawrence County	New York	USA	us	Main Street	13676													Potsdam														Clarkson University	math	25000	1.22	2016-2017	3rd
2380	University of Maryland, College Park				Prince George's County	Maryland	USA	us	Metzerott Road	20740		Berwyn											College Park														University of Maryland - College Park 	Economics	19150	0.63	2017-2018	1st
2381	University of Miami				Miami-Dade County	Florida	USA	us	Theo Dickenson Drive	33124		Coral Gables																		Student Housing Village							University of Miami 	Communication	26500	1.11	2017-2018	1st
2382	Kansas State University			Manhattan	Riley County	Kansas	USA	us	Denison Avenue	66506																											Kansas State University 	Psychological Sciences	15362	0.7	2016-2017	4th
2383	Brown University		Fox Point	Providence	Bristol	Rhode Island	USA	us	Thayer Street	02912																											Brown University	economics	29940	1.32	2017-2018	2nd
2384	University of California, Davis				Yolo County	California	USA	us	Apiary Drive	95616-5270																											University of California - Davis 	Chemistry	32000	1.33	2016-2017	2nd
2385				Providence	Providence	Rhode Island	United States of America	us	Hayes Street	02902								University of Rhode Island																			University of Rhode Island 	BES	16985	0.75	2017-2018	2nd
2386	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	Electrical and Computer Engineering	24135	1.04	2017-2018	4th
2387	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	ECE	1018	0.04	2016-2017	4th
2388				West Lafayette	Tippecanoe County	Indiana	USA	us	Central Drive	47907						500												Siegesmund Engineering Library									Purdue University - West Lafayette	Forestry/ Natural Resources	14400	0.68	2017-2018	1st
2389			Five Points	Atlanta	Fulton County	Georgia	USA	us	Courtland Street Southeast	30303								Georgia State University																			Georgia State University 	Mathematics (PhD)	13899	0.6	2017-2018	1st
2390	Universitat Rovira i Virgili - Campus Bellissens			Reus	Baix Camp	CAT	España	es	Avinguda de la Universitat	43204		Sant Josep Obrer																									Capella University	criminal justice 	30000	1.31	2017-2018	1st
2391				Reno	Washoe County	Nevada	USA	us	Enterprise Road	89557											University of Nevada, Reno																University of Nevada - Reno 	Physiology and Cell Biology	19999	0.95	2016-2017	5th
2392	University of North Dakota			Grand Forks	Grand Forks County	North Dakota	USA	us	Columbia Road	58202																											University of North Dakota 	Geology	18531	0.96	2017-2018	1st
2393	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Sociology	19007	0.86	2017-2018	1st
2394	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	Communication sciences and disorders	31385	1.29	2016-2017	1st
2395			Downtown	Lincoln	Lancaster County	Nebraska	USA	us	North 12th Street	68588-0300		Haymarket	Sheldon Museum of Art																								University of Nebraska - Lincoln 	Plant Pathology	26500	1.36	2017-2018	1st
2396	Vanderbilt University			Nashville-Davidson	Davidson County	Tennessee	USA	us	Garland Avenue	37212																											Vanderbilt University	Teaching & Learning PhD	26000	1.13	2017-2018	2nd
2397	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Information technology 	-12500	-0.48	2017-2018	6th and up
2398	Boston College				Middlesex County	Massachusetts	USA	us	Commonwealth Avenue	02467		Chestnut Hill				140			Newton																		Boston College 	Management	36000	1.29	2017-2018	2nd
2399	UCSD		University Center	San Diego	San Diego County	California	USA	us	Gilman Drive	92093		Torrey Pines				9500																					University of California - San Diego 	Mechanical and Aerospace Engineering	25604	0.97	2016-2017	1st
2400	Columbia University	College Walk		NYC	New York County	New York	USA	us		10027		Manhattan																									Columbia University 	Earth Science	40000	1.35	2016-2017	4th
2401	University of Southern California	Watt Way	Adams Normandie Historic District	LA	Los Angeles County	California	USA	us		90089		Saint James Park																									University of Southern California 	Psychology	29450	1.14	2017-2018	3rd
2402	Cornell University				Ithaca Town	New York	USA	us	Forest Home Drive	14853										Forest Home																	Cornell University 	Molecular Biology and Genetics (MBG)	35074	1.45	2017-2018	1st
2403			Washington Hill	Baltimore		Maryland	USA	us	Orleans Street	21287						1800						Johns Hopkins Hospital															Johns Hopkins University 	International Health	23000	0.89	2016-2017	1st
2404			Washington Hill	Baltimore		Maryland	USA	us	Orleans Street	21287						1800						Johns Hopkins Hospital															Johns Hopkins University 	International Health	37440	1.46	2016-2017	2nd
2405	University of Kansas			Lawrence	Douglas County	Kansas	USA	us	Jayhawk Boulevard	66045																											University of Kansas 	Film and Media Studies	15000	0.73	2017-2018	2nd
2406	Rice University			Houston	Harris County	Texas	USA	us	Stockton Drive	77005-1890																											Rice University	Philosophy	20455	0.94	2017-2018	3rd
2407	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	Chemical Biology	34000	1.47	2017-2018	1st
2408				Upper Dublin Township	Montgomery County	Pennsylvania	United States of America	us	Meetinghouse Road	19002								Temple University																			Temple University 	Music	16500	0.68	2016-2017	2nd
2409	University of Georgia		Five Points	Athens-Clarke County Unified Government	Athens-Clarke County	Georgia	USA	us	East Campus Road	30602																											University of Georgia 	ILS	27400	1.3	2017-2018	1st
2410	University of Massachusetts Dartmouth			Dartmouth	Bristol County	Massachusetts	USA	us	University Ring Road	02747																											University of Massachusetts - Dartmouth 	Physics	14600	0.61	2017-2018	3rd
2411	Emory University		Emory Highlands		DeKalb County	Georgia	USA	us	Gambrell Drive Northeast	30322		Oakhurst											North Decatur														Emory University	English	22850	0.98	2017-2018	1st
2412	University of Notre Dame du Lac				Saint Joseph County	Indiana	USA	us	Holy Cross Drive	46556		Notre Dame					Maple Lane																				University of Notre Dame 	Chemistry	29750	1.45	2017-2018	1st
2413	Gallaudet University			Washington		D.C.	USA	us	Oates Street Northeast	20002		Ivy City																									Gallaudet University	Educational Neuroscience	21000	0.68	2017-2018	3rd
2414	Gallaudet University			Washington		D.C.	USA	us	Oates Street Northeast	20002		Ivy City																									Gallaudet University	Educational Neuroscience	21000	0.68	2016-2017	2nd
2415	Gallaudet University			Washington		D.C.	USA	us	Oates Street Northeast	20002		Ivy City																									Gallaudet University	Educational Neuroscience	21000	0.68	2015-2016	1st
2416	University of Southern California	Watt Way	Adams Normandie Historic District	LA	Los Angeles County	California	USA	us		90089		Saint James Park																									University of Southern California 	History	32000	1.24	2017-2018	1st
2417	Howard University		Howard University	Washington		D.C.	USA	us	College Street Northwest	20001																											Howard University 	School of Education	11840	0.38	2017-2018	1st
2418				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Nutrition 	21154	0.96	2017-2018	1st
2419	University of California, Davis				Yolo County	California	USA	us	Apiary Drive	95616-5270																											University of California - Davis 	Statistics	27850	1.16	2016-2017	1st
2420	New Jersey Institute of Technology		University Heights	Newark	Essex County	New Jersey	USA	us	Warren Street	07103																											New Jersey Institute of Technology	Mechanical Engineering	22000	0.81	2017-2018	1st
2421				Upper Dublin Township	Montgomery County	Pennsylvania	United States of America	us	Meetinghouse Road	19002								Temple University																			Temple University 	Psychology (BCS)	24929	1.03	2017-2018	1st
2422	University of Florida		Diamond Village Apartments	City of Gainesville Municipal Boundaries	Alachua County	Florida	USA	us	Mowry Road	32611																											University of Florida 	Mathematics	21500	0.95	2016-2017	3rd
2423	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	Mechanical engineering	30700	1.27	2016-2017	1st
2424	University of Central Florida				Orange County	Florida	USA	us	Libra Drive	32816							University Park																				University of Central Florida 	Computer Science	22000	0.95	2017-2018	1st
2425				College Township	Centre County	Pennsylvania	USA	us	Air Quality Lane	16803		University Park																	Air Quality Learning and Demonstration Center								Pennsylvania State University 	Art Education	1740	0.08	2017-2018	1st
2426	Stanford University				Santa Clara County	California	USA	us	Palm Drive	94305-6015							Stanford																				Stanford University 	Bioengineering	41700	1.45	2017-2018	2nd
2427	University of California, Davis				Yolo County	California	USA	us	Apiary Drive	95616-5270																											University of California - Davis 	Cultural Studies	26000	1.08	2016-2017	1st
2428					Palm Beach County	Florida	USA	us	University Boulevard	33458		Jupiter									Lot 70																Florida Atlantic University 	Mathematics 	20050	0.84	2017-2018	1st
2429				West Lafayette	Tippecanoe County	Indiana	USA	us	Central Drive	47907						500												Siegesmund Engineering Library									Purdue University - West Lafayette	Industrial Engineering	18500	0.87	2017-2018	3rd
2430				West Lafayette	Tippecanoe County	Indiana	USA	us	Central Drive	47907						500												Siegesmund Engineering Library									Purdue University - West Lafayette	Industrial Engineering	2450	0.12	2017-2018	3rd
2431	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	Political Science	32605	1.41	2017-2018	1st
2432	Georgetown University			Washington		D.C.	USA	us	O Street Northwest	20057		Georgetown				3700																					Georgetown University	Psychology	27500	0.89	2016-2017	3rd
2433	Ohio University				Athens County	Ohio	USA	us	Parking Lot Clippinger Labs	45701									Athens																		Ohio University 	History	17000	0.81	2017-2018	1st
2434	Iowa State University			Ames	Story County	Iowa	USA	us	Farm House Road	50014																											Iowa State University 	Chemical and Biological Engineering 	27645	1.3	2017-2018	1st
2435	University of South Carolina			Columbia	Richland County	South Carolina	USA	us	Blossom Street	29202																											University of South Carolina 	Chemical Engineering 	25000	1.11	2017-2018	1st
2436	University of Florida		Diamond Village Apartments	City of Gainesville Municipal Boundaries	Alachua County	Florida	USA	us	Mowry Road	32611																											University of Florida 	Biomedical Engineering	30200	1.33	2017-2018	1st
2437			University City	Philadelphia	Philadelphia County	Pennsylvania	USA	us	South Street	19104						3260								Penn Museum													University of Pennsylvania	Education Policy	40000	1.66	2017-2018	1st
2438	University of Iowa			Iowa City	Johnson County	Iowa	USA	us	Hawkeye Court	52246																											University of Iowa 	MSTP	27500	1.24	2016-2017	2nd
2439	Clemson University				Pickens County	South Carolina	USA	us	Old Stadium Road	29631							Clemson Heights																				Clemson University 	Wildlife and Fisheries Biology	15045	0.72	2016-2017	3rd
2440	BGSU		Greek Housing	Bowling Green	Wood County	Ohio	USA	us	East Wooster Street	43403-0001						1001																					Bowling Green State University 	Chemistry	16640	0.89	2016-2017	1st
2441	University of Arkansas			Fayetteville	Washington County	Arkansas	USA	us	North Garland Avenue	72704																											University of Arkansas - Fayetteville	Chemical Engineering	17600	0.88	2016-2017	2nd
2442			Shaws Hill		Rockingham County	New Hampshire	USA	us	Sullivan Lane	03854											University of New Hampshire		New Castle														University of New Hampshire 	computer science 	29100	1.22	2017-2018	3rd
2443	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	Criminal Justice	18286	0.89	2017-2018	1st
2444				Indianapolis	Marion County	Indiana	USA	us	Blackford Street	46202																					Indiana University Purdue University Indianapolis						Indiana University- Purdue University - Indianapolis 	business analytics	46000	2.22	2017-2018	1st
2445	University of California, Riverside			Riverside	Riverside County	California	USA	us	Iowa Avenue	92521																											University of California - Riverside 	statistics	15044	0.62	2017-2018	1st
2446	The Ohio State University		Riverview	Columbus	Franklin County	Ohio	USA	us	W Lane Ave	43221																											Ohio State University 	chemistry	27600	1.38	2017-2018	2nd
2447				Houston	Harris County	Texas	USA	us	Baylor Plaza	77030						1																Baylor College of Medicine					Baylor College of Medicine	Biochemistry	29980	1.37	2016-2017	2nd
2448	University of Pittsburgh			PGH	Allegheny County	Pennsylvania	USA	us	Sutherland Drive	15240		West Oakland																									University of Pittsburgh	PhD Epidemiology, Public Health	21910	1.06	2016-2017	4th
2449	Stanford University				Santa Clara County	California	USA	us	Palm Drive	94305-6015							Stanford																				Stanford University 	Chemistry	38462	1.34	2017-2018	1st
2450	Tufts University				Middlesex County	Massachusetts	USA	us	Upper Campus Road	02144-1399									Medford																		Tufts University 	Mammalian Genetics	32880	1.18	2016-2017	1st
2451			East End	Rochester	Monroe County	New York	USA	us	University Avenue	14607						500								Memorial Art Gallery													University of Rochester 	English	20000	0.94	2017-2018	1st
2452	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	Physics	21060	0.9	2016-2017	3rd
2453	University of Arkansas			Fayetteville	Washington County	Arkansas	USA	us	North Garland Avenue	72704																											University of Arkansas - Fayetteville	CSCE Ph.D.	19800	0.99	2016-2017	1st
2454	UC			Cincinnati	Hamilton County	Ohio	USA	us	West University Avenue	45219		The Heights																									University of Cincinnati 	Neuroscience	26000	1.35	2016-2017	2nd
2455			Five Points	Atlanta	Fulton County	Georgia	USA	us	Courtland Street Southeast	30303								Georgia State University																			Georgia State University 	Sociology	14700	0.63	2017-2018	2nd
2456	University of Chicago		Woodlawn	Chicago	Cook County	Illinois	USA	us	South Ellis Avenue	60637																											University of Chicago 	Sociology	28000	1.15	2017-2018	1st
2457	Vanderbilt University			Nashville-Davidson	Davidson County	Tennessee	USA	us	Garland Avenue	37212																											Vanderbilt University	English 	32000	1.39	2017-2018	1st
2458	University of Notre Dame du Lac				Saint Joseph County	Indiana	USA	us	Holy Cross Drive	46556		Notre Dame					Maple Lane																				University of Notre Dame 	computer science and engineering	27235	1.33	2017-2018	1st
2459	University of Washington		Montlake	Seattle	King County	Washington	USA	us	Jefferson Road Northeast	98195-2350		University District																									University of Washington 	Earth and space science 	23736	1.02	2017-2018	1st
2460			Medical District	Austin	Travis County	Texas	USA	us	San Jacinto Boulevard	78712						2152									University of Texas at Austin												University of Texas - Austin 	Classics	30000	1.31	2017-2018	1st
2461	Syracuse University		Skytop	Syracuse	Onondaga County	New York	USA	us	Farm Acre Road	13210																											Syracuse University	School of Information Studies	22500	1.05	2017-2018	2nd
2462	Duke University	Union Circle	Trinity Heights	Durham	Durham County	North Carolina	USA	us																													Duke University 	BME	2300	0.1	2016-2017	5th
2463	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Mathematics	25000	0.9	2016-2017	1st
2464	Northwestern University		Downtown	Evanston	Cook County	Illinois	USA	us	Haven Street	60201																											Northwestern University 	Mechanical Engineering	2243	0.09	2016-2017	1st
2465	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	Theatre, Dance, and Performance Studies	23600	0.85	2016-2017	3rd
2466	UNC-Chapel Hill				Orange County	North Carolina	USA	us	Ehringhaus Drive	275199									Chapel Hill																		University of North Carolina - Chapel Hill 	Communicatin Studies 	14780	0.67	2017-2018	1st
2467	University of California, Riverside			Riverside	Riverside County	California	USA	us	Iowa Avenue	92521																											University of California - Riverside 	computer science	25000	1.04	2017-2018	1st
2468			New Scotland	Albany	Albany County	New York	USA	us	New Scotland Avenue	12208						43									Albany Medical College												Albany Medical College	Cancer Biology	24000	1.05	2017-2018	1st
2469	University of Alabama			Tuscaloosa	Tuscaloosa County	Alabama	USA	us	Fraternity Lane	35487		West End																									University of Alabama 	Biology	23068	1.1	2017-2018	2nd
2470	University of Alabama			Tuscaloosa	Tuscaloosa County	Alabama	USA	us	Fraternity Lane	35487		West End																									University of Alabama 	Biology	22104	1.05	2016-2017	2nd
2471	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	Program in Chemical Biology	28550	1.24	2016-2017	2nd
2472	Harvard University		Old Cambridge		Middlesex County	Massachusetts	USA	us	John F. Kennedy Street	02163									Cambridge																		Harvard University 	Economics	30000	1.05	2016-2017	1st
2473	Washington University in St. Louis		Fountain Park	Saint Louis	City of Saint Louis	Missouri	United States of America	us		63112-0040				Wheels Path																							Washington University in St. Louis 	Anthropology	22900	1.11	2017-2018	1st
2474	Michigan State University			East Lansing	Ingham County	Michigan	USA	us	Farm Lane	48824																											Michigan State University 	Physics	24950	1.22	2016-2017	2nd
2475	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	Aerospace Engineering	24900	1.07	2017-2018	3rd
2476	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Molecular Biology	21000	0.81	2016-2017	4th
2477				College Township	Centre County	Pennsylvania	USA	us	Air Quality Lane	16803		University Park																	Air Quality Learning and Demonstration Center								Pennsylvania State University 	Engineering/Civil Engineering	23974	1.07	2016-2017	2nd
2478				Urbana	Champaign County	Illinois	USA	us	South Mathews Avenue	61801											B-3																University of Illinois - Urbana- Champaign 	Computer Science	3690	0.17	2016-2017	1st
2479			East End	Rochester	Monroe County	New York	USA	us	University Avenue	14607						500								Memorial Art Gallery													University of Rochester 	hajim school of engineering	29770	1.39	2016-2017	1st
2480				Carencro	Lafayette Parish	Louisiana	USA	us	North University Avenue	70520						5101												North Regional Library									University of Louisiana - Lafayette	mathematics	20000	0.95	2016-2017	1st
2481	Washington State University Everett			Everett	Snohomish County	Washington	USA	us		98201	Crosswalk																										Washington State University 	Economics	14700	0.78	2016-2017	1st
2482	UC Berkeley			Oakland	Alameda County	California	USA	us	Centennial Drive	94720-1076																											University of California - Berkeley	bioengineering	36000	1.3	2017-2018	1st
2483	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	Mechanical Engineering	34000	1.46	2016-2017	2nd
2484	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Psychology	26875	1.04	2016-2017	1st
2485	Carnegie Mellon University Silicon Valley				Santa Clara County	California	USA	us	South Akron Road	94035-0016																								ARC			Carnegie Mellon University 	Civil Engineering	24146	1.4	2013-2014	1st
2486	University of Michigan			Ann Arbor	Washtenaw County	Michigan	USA	us	South State Street	48109						500																					University of Michigan - Ann Arbor 	Political Science	32600	1.41	2017-2018	1st
2487	University of Utah		East Central	Salt Lake City	Salt Lake County	Utah	United States of America	us	Presidents Circle	84112		Central City				201																					University of Utah	medicinal chemistry	24000	1.08	2017-2018	1st
2488	University of Utah		East Central	Salt Lake City	Salt Lake County	Utah	United States of America	us	Presidents Circle	84112		Central City				201																					University of Utah	medicinal chemistry	22000	0.99	2017-2018	1st
2489			Soho	PGH	Allegheny County	Pennsylvania	USA	us	McAnulty Drive	15219		Bluff						Duquesne University																			Duquesne University 	medicinal chemistry	22000	1.06	2017-2018	1st
2490			Soho	PGH	Allegheny County	Pennsylvania	USA	us	McAnulty Drive	15219		Bluff						Duquesne University																			Duquesne University 	medicinal chemistry	22000	1.06	2017-2018	1st
2491	The University of Texas Health Science Center			Houston	Harris County	Texas	USA	us	Fannin Street	77030						7000																					University of Texas Health Science Center - Houston	Biostatistics (School of Public Health)	20000	0.92	2016-2017	1st
2492	Drexel University		Powelton Village	Philadelphia	Philadelphia County	Pennsylvania	USA	us	Arch Street	19104																											Drexel University 	Department of Chemistry	21000	0.87	2017-2018	1st
2493				Knoxville	Knox County	Tennessee	USA	us	Melrose Avenue	37916		Fort Sanders						University of Tennessee																			University of Tennessee - Knoxville	Mechanical Engineering	28700	1.35	2017-2018	1st
2494	University of Notre Dame du Lac				Saint Joseph County	Indiana	USA	us	Holy Cross Drive	46556		Notre Dame					Maple Lane																				University of Notre Dame 	computer science	31750	1.55	2017-2018	3rd
2495	BGSU		Greek Housing	Bowling Green	Wood County	Ohio	USA	us	East Wooster Street	43403-0001						1001																					Bowling Green State University 	Biology	16000	0.85	2017-2018	1st
2496	University of Pittsburgh			PGH	Allegheny County	Pennsylvania	USA	us	Sutherland Drive	15240		West Oakland																									University of Pittsburgh	Higher Education Management (M.Ed.)	14721	0.71	2016-2017	1st
2497	University of Pittsburgh			PGH	Allegheny County	Pennsylvania	USA	us	Sutherland Drive	15240		West Oakland																									University of Pittsburgh	Higher Education Management	1617	0.08	2016-2017	1st
2498	Texas Tech University		South Overton	Lubbock	Lubbock County	Texas	USA	us	Broadway Street	79409						2500																					Texas Tech University 	Plant and Soil Science	15955	0.79	2017-2018	1st
2499	University of Notre Dame du Lac				Saint Joseph County	Indiana	USA	us	Holy Cross Drive	46556		Notre Dame					Maple Lane																				University of Notre Dame 	Computer Science 	27258	1.33	2016-2017	2nd
2500	FIU				Miami-Dade County	Florida	USA	us	Southwest 14th Street	33199		Sweetwater					University Park																				Florida International University 	Biomedical Engineering	21500	0.9	2016-2017	4th
2501	University of Utah		East Central	Salt Lake City	Salt Lake County	Utah	United States of America	us	Presidents Circle	84112		Central City				201																					University of Utah	Psychology	19500	0.88	2016-2017	2nd
2502	Yale University			West Haven	New Haven County	Connecticut	USA	us	West Campus Drive	06516																											Yale University 	Ecology & Evolutionary Biology	36250	1.47	2016-2017	4th
2503	LSU			Baton Rouge	East Baton Rouge Parish	Louisiana	USA	us	Gourrier Avenue	70803																											Louisiana State University - Baton Rouge	management information systems	20600	0.95	2017-2018	1st
2504	Yale University			West Haven	New Haven County	Connecticut	USA	us	West Campus Drive	06516																											Yale University 	Economics	38000	1.54	2017-2018	1st
2505	Colorado School of Mines			Golden	Jefferson County	Colorado	USA	us	Illinois Street	80401						1500																					Colorado School of Mines	Applied Math	15000	0.67	2016-2017	1st
2506				Reno	Washoe County	Nevada	USA	us	Enterprise Road	89557											University of Nevada, Reno																University of Nevada - Reno 	Public Health	19300	0.92	2017-2018	1st
2507	University of Virginia			Charlottesville		Virginia	USA	us	Emmet Street North	22901																											University of Virginia 	Biomedical Sciences	30000	1.31	2017-2018	1st
2508	UCSD		University Center	San Diego	San Diego County	California	USA	us	Gilman Drive	92093		Torrey Pines				9500																					University of California - San Diego 	Chemistry and Biochemistry	29000	1.1	2017-2018	5th
2509	Yale University			West Haven	New Haven County	Connecticut	USA	us	West Campus Drive	06516																											Yale University 	Linguistics	30250	1.22	2016-2017	3rd
2510	Brandeis University		The Island		Middlesex County	Massachusetts	USA	us	Loop Road	02453-2728									Waltham																		Brandeis University	Psychology	23952	0.86	2016-2017	2nd
2511	Georgia Tech	Atlantic Drive Northwest	Bellwood	Atlanta	Fulton County	Georgia	USA	us		30318		Rockdale																									Georgia Institute of Technology 	Mechanical 	26400	1.13	2017-2018	1st
2512	University of California, Davis				Yolo County	California	USA	us	Apiary Drive	95616-5270																											University of California - Davis 	MAE	77400	3.23	2016-2017	3rd
2513	Brandeis University		The Island		Middlesex County	Massachusetts	USA	us	Loop Road	02453-2728									Waltham																		Brandeis University	Physics	30000	1.07	2016-2017	1st
2514	University of California - Los Angeles (Westwood)	Bruin Walk	Westwood Village	LA	Los Angeles County	California	USA	us		90095		Westwood																									University of California - Los Angeles 	Bioengineering	23854	0.92	2016-2017	1st
2515				Phoenix	Maricopa County	Arizona	USA	us		85004	Taylor Mall	Central City	Dero			Suite 1400																					Arizona State University 	SEMTE	20300	0.91	2016-2017	2nd
2516	University of Florida		Diamond Village Apartments	City of Gainesville Municipal Boundaries	Alachua County	Florida	USA	us	Mowry Road	32611																											University of Florida 	Biomedical Sciences	26707	1.18	2017-2018	1st
2517	Софийски университет			Оборище	Столична		Бългaрия	bg	Св. Климент Охридски	1037																											Sofia University	social work	22400	0.9	2013-2014	4th
2518			Washington Hill	Baltimore		Maryland	USA	us	Orleans Street	21287						1800						Johns Hopkins Hospital															Johns Hopkins University 	Molecular Microbiology and Immunology	30398	1.18	2016-2017	1st
2519	University of Wisconsin-Madison		Oakland Heights	Madison	Dane County	Wisconsin	USA	us		53726				Howard Temin Lakeshore Path																							University of Wisconsin - Madison 	Chemistry	26500	1.16	2017-2018	1st
2520	Rice University			Houston	Harris County	Texas	USA	us	Stockton Drive	77005-1890																											Rice University	Anthropology	21500	0.98	2016-2017	1st
